	RankSPP	RankLinear_0.1	RankLinear_0.2	RankLinear_0.3	RankLinear_0.4	RankLinear_0.5	RankLinear_0.6	RankLinear_0.7	RankLinear_0.8	RankLinear_0.9	RankLinear_1.0	RankLinear_2.0	RankLinear_3.0	RankLinear_4.0	RankLinear_5.0	RankLinear_6.0	RankLinear_7.0	RankLinear_8.0	RankLinear_9.0	RankLinear_10.0	RankCrowdness
10	0.08333333333333336	0.8333333333333333	1.0	0.8333333333333333	1.0833333333333333	0.9166666666666666	0.9166666666666666	1.3333333333333335	1.1666666666666667	1.3333333333333335	1.1666666666666667	1.0833333333333333	1.3333333333333335	1.25	1.75	1.1666666666666667	1.0	1.0833333333333333	0.9166666666666666	1.25	1.25
20	1.0833333333333333	1.25	0.8333333333333333	0.9166666666666666	0.49999999999999983	0.7499999999999999	0.6666666666666665	0.9166666666666666	0.9166666666666666	0.8333333333333333	1.25	1.4166666666666667	1.0	1.4166666666666667	1.4999999999999998	1.3333333333333335	1.5833333333333333	1.4166666666666667	1.1666666666666667	1.6666666666666665	1.6666666666666665
40	0.08333333333333336	0.49999999999999983	0.1666666666666667	0.5833333333333331	0.5833333333333331	0.8333333333333333	0.9166666666666666	1.0	1.0	0.49999999999999983	1.1666666666666667	1.0833333333333333	1.3333333333333335	1.3333333333333335	1.25	0.7499999999999999	0.9166666666666666	1.0833333333333333	0.8333333333333333	1.1666666666666667	1.0
60	0.1666666666666667	0.7499999999999999	0.24999999999999992	0.6666666666666665	0.5833333333333331	1.0	0.8333333333333333	1.0	0.9166666666666666	0.9166666666666666	0.8333333333333333	1.0	1.0833333333333333	1.0833333333333333	1.0	1.25	1.1666666666666667	1.4166666666666667	1.3333333333333335	1.0833333333333333	1.3333333333333335
80	0.1666666666666667	0.24999999999999992	0.33333333333333326	0.24999999999999992	0.41666666666666663	0.6666666666666665	0.5833333333333331	0.7499999999999999	0.49999999999999983	0.41666666666666663	0.9166666666666666	1.1666666666666667	1.0	1.0	1.3333333333333335	1.1666666666666667	1.0	1.25	1.0833333333333333	1.4166666666666667	0.9166666666666666
100	0.0	0.1666666666666667	0.33333333333333326	0.41666666666666663	0.08333333333333336	0.41666666666666663	0.5833333333333331	1.0	0.6666666666666665	0.8333333333333333	0.9166666666666666	0.8333333333333333	0.6666666666666665	0.8333333333333333	0.9166666666666666	0.6666666666666665	0.9166666666666666	0.8333333333333333	0.6666666666666665	0.5833333333333331	0.9166666666666666
120	0.49999999999999983	0.33333333333333326	-0.08333333333333336	0.24999999999999992	0.49999999999999983	0.5833333333333331	0.5833333333333331	0.5833333333333331	0.6666666666666665	0.5833333333333331	0.24999999999999992	1.0	0.6666666666666665	0.9166666666666666	0.7499999999999999	0.9166666666666666	1.0833333333333333	0.9166666666666666	1.1666666666666667	1.0833333333333333	0.9166666666666666
140	-0.25000000000000006	-0.25000000000000006	0.33333333333333326	-0.08333333333333336	0.41666666666666663	0.24999999999999992	0.5833333333333331	0.7499999999999999	0.6666666666666665	0.6666666666666665	0.6666666666666665	0.6666666666666665	0.7499999999999999	0.6666666666666665	1.0	1.0	1.0	1.0	0.8333333333333333	1.1666666666666667	0.8333333333333333
160	-0.25000000000000006	-0.1666666666666667	0.1666666666666667	0.24999999999999992	0.41666666666666663	0.5833333333333331	0.5833333333333331	0.49999999999999983	0.49999999999999983	0.5833333333333331	0.49999999999999983	0.6666666666666665	0.7499999999999999	0.7499999999999999	0.8333333333333333	0.8333333333333333	1.0	0.8333333333333333	0.41666666666666663	0.8333333333333333	0.5833333333333331
180	-0.1666666666666667	-0.08333333333333336	0.0	0.1666666666666667	0.49999999999999983	0.33333333333333326	0.5833333333333331	0.08333333333333336	0.24999999999999992	0.6666666666666665	0.5833333333333331	0.9166666666666666	0.7499999999999999	0.9166666666666666	0.6666666666666665	0.6666666666666665	1.0833333333333333	0.8333333333333333	0.5833333333333331	0.8333333333333333	0.49999999999999983
200	-0.33333333333333337	0.0	-0.08333333333333336	0.0	0.1666666666666667	0.33333333333333326	0.1666666666666667	0.33333333333333326	0.41666666666666663	0.33333333333333326	0.24999999999999992	0.8333333333333333	0.7499999999999999	0.33333333333333326	0.8333333333333333	0.6666666666666665	0.7499999999999999	0.41666666666666663	0.5833333333333331	0.49999999999999983	0.9166666666666666
