top	enrichment	err	sample	rank
50.0	0.2526887755102041	0.018180118075289083	fly	C-score
60.0	0.24922959183673468	0.01797431351458084	fly	C-score
70.0	0.24375510204081619	0.017713458745982662	fly	C-score
80.0	0.24186734693877554	0.01757863736624994	fly	C-score
90.0	0.23947448979591834	0.01744298394685977	fly	C-score
100.0	0.23620918367346944	0.01711275472390212	fly	C-score
110.0	0.23337755102040847	0.01689430316296685	fly	C-score
120.0	0.23007142857142857	0.01670146733041774	fly	C-score
130.0	0.22705612244897955	0.016519158107486682	fly	C-score
140.0	0.225591836734694	0.016446778688361266	fly	C-score
150.0	0.22327551020408168	0.016236793629244847	fly	C-score
160.0	0.22063265306122457	0.016101570879857308	fly	C-score
170.0	0.21870918367346934	0.0159617121225951	fly	C-score
180.0	0.2168673469387754	0.015853196016604326	fly	C-score
190.0	0.2155612244897959	0.01573914472733306	fly	C-score
200.0	0.21433163265306113	0.015643906201862852	fly	C-score
210.0	0.21342857142857144	0.015540305624443137	fly	C-score
220.0	0.2119642857142858	0.015432626273229322	fly	C-score
230.0	0.20969897959183673	0.015308046778562928	fly	C-score
240.0	0.20808163265306126	0.015195664965665656	fly	C-score
250.0	0.20685714285714277	0.015136692711686977	fly	C-score
260.0	0.2051938775510204	0.015054973946156194	fly	C-score
270.0	0.20401530612244895	0.014967541153304597	fly	C-score
280.0	0.20258673469387745	0.014869104023487163	fly	C-score
290.0	0.20152040816326522	0.014736001364719644	fly	C-score
300.0	0.20117857142857137	0.014686544094727088	fly	C-score
310.0	0.1996326530612246	0.01460238716481151	fly	C-score
320.0	0.19839285714285707	0.014516683008087616	fly	C-score
330.0	0.19779591836734708	0.014450666574098185	fly	C-score
340.0	0.19650510204081625	0.014322230796909622	fly	C-score
350.0	0.19572448979591833	0.014286356324811494	fly	C-score
360.0	0.19467857142857142	0.014208428993878855	fly	C-score
370.0	0.19359693877551	0.014096511882626107	fly	C-score
380.0	0.19277551020408162	0.014003003081559722	fly	C-score
390.0	0.19196428571428567	0.01394614815653329	fly	C-score
400.0	0.19109693877551012	0.013863101658805934	fly	C-score
410.0	0.19023469387755093	0.013788957659119977	fly	C-score
420.0	0.18936734693877552	0.013697577916941966	fly	C-score
430.0	0.1889591836734693	0.013638363636294795	fly	C-score
440.0	0.18831122448979595	0.013579045496313441	fly	C-score
450.0	0.1877755102040817	0.013546047330675565	fly	C-score
460.0	0.18695918367346942	0.013478113422522713	fly	C-score
470.0	0.18618877551020405	0.013385651556440089	fly	C-score
480.0	0.18547448979591835	0.01332864275727843	fly	C-score
490.0	0.1844795918367347	0.013253737679990054	fly	C-score
500.0	0.1836326530612244	0.01318281228708246	fly	C-score
510.0	0.18283163265306118	0.0131175774595009	fly	C-score
520.0	0.18211224489795924	0.013058259675440522	fly	C-score
530.0	0.18141836734693872	0.01301539933824552	fly	C-score
540.0	0.1808520408163265	0.012962192647498547	fly	C-score
550.0	0.18022448979591835	0.012927491832010269	fly	C-score
560.0	0.17956632653061227	0.012876062735505917	fly	C-score
570.0	0.1790357142857143	0.01282095920860763	fly	C-score
580.0	0.1785	0.01277143697093085	fly	C-score
590.0	0.17785714285714288	0.012739295072039743	fly	C-score
600.0	0.17711734693877546	0.012695018018758747	fly	C-score
610.0	0.17654591836734695	0.012644226645818194	fly	C-score
620.0	0.17628061224489794	0.012626168665647494	fly	C-score
630.0	0.17583163265306123	0.012595185930783999	fly	C-score
640.0	0.17512755102040806	0.012551123932260572	fly	C-score
650.0	0.17436734693877542	0.01249499695903485	fly	C-score
660.0	0.173765306122449	0.012442557921150437	fly	C-score
670.0	0.17317346938775519	0.01236937621189092	fly	C-score
680.0	0.1725408163265306	0.012328760809785505	fly	C-score
690.0	0.17201530612244903	0.012290178243967356	fly	C-score
700.0	0.17148469387755094	0.01225388473531026	fly	C-score
710.0	0.17112244897959183	0.012221378380280378	fly	C-score
720.0	0.1706377551020408	0.012182322508495689	fly	C-score
730.0	0.1699081632653061	0.012138193832998407	fly	C-score
740.0	0.1694336734693878	0.012097203704199045	fly	C-score
750.0	0.1688826530612245	0.012070693023324234	fly	C-score
760.0	0.16849489795918365	0.01203837292501726	fly	C-score
770.0	0.1682602040816327	0.012017732547935837	fly	C-score
780.0	0.16767346938775515	0.011986636879667417	fly	C-score
790.0	0.16708163265306122	0.011949061927581479	fly	C-score
800.0	0.16669897959183677	0.011911857123501556	fly	C-score
810.0	0.16617857142857131	0.011878691692544708	fly	C-score
820.0	0.16570918367346932	0.011833365124922533	fly	C-score
830.0	0.16526530612244897	0.011805707543996706	fly	C-score
840.0	0.1646938775510204	0.011786980321225762	fly	C-score
850.0	0.16428061224489796	0.011748413129009514	fly	C-score
860.0	0.1637397959183674	0.011714352418276803	fly	C-score
870.0	0.1633673469387755	0.011703165845909405	fly	C-score
880.0	0.16300510204081628	0.011674493518975175	fly	C-score
890.0	0.16259183673469385	0.011642900230193733	fly	C-score
900.0	0.16218877551020405	0.011624731407920039	fly	C-score
910.0	0.1618316326530612	0.011600645342707572	fly	C-score
920.0	0.1613928571428571	0.011576730515547903	fly	C-score
930.0	0.16098469387755102	0.01154520720337922	fly	C-score
940.0	0.16048469387755093	0.011504044466691607	fly	C-score
950.0	0.16010204081632654	0.011477179094085356	fly	C-score
960.0	0.15964285714285711	0.011439654653315683	fly	C-score
970.0	0.15933673469387755	0.011408026147573958	fly	C-score
980.0	0.1589540816326531	0.011378450749706339	fly	C-score
990.0	0.1585357142857143	0.011353739382211642	fly	C-score
1000.0	0.15819897959183676	0.011324051867644225	fly	C-score
1010.0	0.15790816326530616	0.01130094528739829	fly	C-score
1020.0	0.1574795918367348	0.011266674854662028	fly	C-score
1030.0	0.15705612244897957	0.011237387118358795	fly	C-score
1040.0	0.1567755102040817	0.011208069860419707	fly	C-score
1050.0	0.15641326530612235	0.011179803411977362	fly	C-score
1060.0	0.15625510204081636	0.01114776266221387	fly	C-score
1070.0	0.15597959183673468	0.011127767464702497	fly	C-score
1080.0	0.15569897959183673	0.011107532106056356	fly	C-score
1090.0	0.15539285714285717	0.011087250599239654	fly	C-score
1100.0	0.1551224489795919	0.011051805913580454	fly	C-score
1110.0	0.15499489795918367	0.011036551463554695	fly	C-score
1120.0	0.15464795918367344	0.010997862297853394	fly	C-score
1130.0	0.15431632653061214	0.010974627495237027	fly	C-score
1140.0	0.15392857142857141	0.010952003895404747	fly	C-score
1150.0	0.1535408163265306	0.010921060496208067	fly	C-score
1160.0	0.15323979591836737	0.010900856343002387	fly	C-score
1170.0	0.1529489795918367	0.010871683305795627	fly	C-score
1180.0	0.1525612244897959	0.010836859626514784	fly	C-score
1190.0	0.15226020408163268	0.010815020624294732	fly	C-score
1200.0	0.15196428571428558	0.010784530112322449	fly	C-score
1210.0	0.1515918367346938	0.010756601841415605	fly	C-score
1220.0	0.15137755102040812	0.010739998525181092	fly	C-score
1230.0	0.15111224489795916	0.010712238547541345	fly	C-score
1240.0	0.1508877551020408	0.01069586393186083	fly	C-score
1250.0	0.15059693877551028	0.010667054821271036	fly	C-score
1260.0	0.15030102040816323	0.010638960173283165	fly	C-score
1270.0	0.15009693877551017	0.010615336937087437	fly	C-score
1280.0	0.1498214285714285	0.010595777757174544	fly	C-score
1290.0	0.14952040816326528	0.010567127278554756	fly	C-score
1300.0	0.14930102040816323	0.010541422666385929	fly	C-score
1310.0	0.14898979591836725	0.010516459377251517	fly	C-score
1320.0	0.14869897959183673	0.010487730789669709	fly	C-score
1330.0	0.14845408163265306	0.010467300490514777	fly	C-score
1340.0	0.14813775510204075	0.010436460562320487	fly	C-score
1350.0	0.14785204081632658	0.010421710710759872	fly	C-score
1360.0	0.14763265306122444	0.01039914000265803	fly	C-score
1370.0	0.14740816326530606	0.010380033245938143	fly	C-score
1380.0	0.14713265306122436	0.010366969635321898	fly	C-score
1390.0	0.1468928571428571	0.010345715244205257	fly	C-score
1400.0	0.14664795918367346	0.010321986193770923	fly	C-score
1410.0	0.14631122448979594	0.010292208998698819	fly	C-score
1420.0	0.14607142857142846	0.010264914612610584	fly	C-score
1430.0	0.14579591836734693	0.010238791828335758	fly	C-score
1440.0	0.14551020408163268	0.010221719136909543	fly	C-score
1450.0	0.14525510204081638	0.010193334188376623	fly	C-score
1460.0	0.14505102040816323	0.01017151383082028	fly	C-score
1470.0	0.1447755102040816	0.010138016853706303	fly	C-score
1480.0	0.14452040816326536	0.010118105431293394	fly	C-score
1490.0	0.1443724489795918	0.010093889187678692	fly	C-score
1500.0	0.14416836734693883	0.010067869430450072	fly	C-score
1510.0	0.14389285714285713	0.010048382108239976	fly	C-score
1520.0	0.14369387755102034	0.010030223339331335	fly	C-score
1530.0	0.14339795918367348	0.010005002619939916	fly	C-score
1540.0	0.14322959183673478	0.00998370292692581	fly	C-score
1550.0	0.14305102040816325	0.009961652651168934	fly	C-score
1560.0	0.1428265306122449	0.009941324591955384	fly	C-score
1570.0	0.14258163265306126	0.009921161877809075	fly	C-score
1580.0	0.14240306122448987	0.009901684624497786	fly	C-score
1590.0	0.14215816326530611	0.009882366857059524	fly	C-score
1600.0	0.14202551020408155	0.009868015546871955	fly	C-score
1610.0	0.1417959183673469	0.009849402169479419	fly	C-score
1620.0	0.14154591836734687	0.009825623262387312	fly	C-score
1630.0	0.14133163265306115	0.009811949063453076	fly	C-score
1640.0	0.1411428571428571	0.009795619435522629	fly	C-score
1650.0	0.1408979591836735	0.009780848178086362	fly	C-score
1660.0	0.1406785714285714	0.009762628513329421	fly	C-score
1670.0	0.1405969387755102	0.009755741588118831	fly	C-score
1680.0	0.14040306122448978	0.009735418134436208	fly	C-score
1690.0	0.14016326530612241	0.009720108112260345	fly	C-score
1700.0	0.14004081632653054	0.00970325768321713	fly	C-score
1710.0	0.13991326530612247	0.009685768751819108	fly	C-score
1720.0	0.13972959183673472	0.009670436301524112	fly	C-score
1730.0	0.1395306122448979	0.009659556583726059	fly	C-score
1740.0	0.13932653061224487	0.009642100230828888	fly	C-score
1750.0	0.1391224489795919	0.009625650176446376	fly	C-score
1760.0	0.13898979591836727	0.009616704434244122	fly	C-score
1770.0	0.13888265306122446	0.009602211584906286	fly	C-score
1780.0	0.13870408163265305	0.009590897640435525	fly	C-score
1790.0	0.1385306122448979	0.009581402075546924	fly	C-score
1800.0	0.13829081632653048	0.009562201587562746	fly	C-score
1810.0	0.13814285714285712	0.009545906599692202	fly	C-score
1820.0	0.13799999999999998	0.009529356443271493	fly	C-score
1830.0	0.13782653061224492	0.009514590000030295	fly	C-score
1840.0	0.13758163265306123	0.00949433675958378	fly	C-score
1850.0	0.1374336734693877	0.00947389779049349	fly	C-score
1860.0	0.13725510204081626	0.009464897339968751	fly	C-score
1870.0	0.13710204081632654	0.009442563653543524	fly	C-score
1880.0	0.13694897959183672	0.009425873031833325	fly	C-score
1890.0	0.13678061224489788	0.009405960742889024	fly	C-score
1900.0	0.13664795918367342	0.00939122182338623	fly	C-score
1910.0	0.13652040816326527	0.009376564468615416	fly	C-score
1920.0	0.13635204081632651	0.00936351279026804	fly	C-score
1930.0	0.13626530612244897	0.009351267909456614	fly	C-score
1940.0	0.13607142857142854	0.009343403496924006	fly	C-score
1950.0	0.13593367346938776	0.00933236259307813	fly	C-score
1960.0	0.1358265306122448	0.009323569080495165	fly	C-score
1970.0	0.13564795918367345	0.009307178220921392	fly	C-score
1980.0	0.1354744897959183	0.009297187716515803	fly	C-score
1990.0	0.13539795918367348	0.009284100957598762	fly	C-score
2000.0	0.13529591836734692	0.009272936879200583	fly	C-score
2010.0	0.13512244897959177	0.009257507258384949	fly	C-score
2020.0	0.13502040816326522	0.009239776363738083	fly	C-score
2030.0	0.13488775510204074	0.009240679084219189	fly	C-score
2040.0	0.1347755102040816	0.00922798641026821	fly	C-score
2050.0	0.13468367346938773	0.009218318945441317	fly	C-score
2060.0	0.13456632653061218	0.00920734488528623	fly	C-score
2070.0	0.13440816326530608	0.009198274340095325	fly	C-score
2080.0	0.1343622448979592	0.009187393361103264	fly	C-score
2090.0	0.13416326530612244	0.009180606558077049	fly	C-score
2100.0	0.13403061224489787	0.00916683528172765	fly	C-score
2110.0	0.13389795918367337	0.009158611596943339	fly	C-score
2120.0	0.13379081632653053	0.009151258764916109	fly	C-score
2130.0	0.13366326530612235	0.009142195740027935	fly	C-score
2140.0	0.13358163265306114	0.009135562127853838	fly	C-score
2150.0	0.13346938775510198	0.00912293332843579	fly	C-score
2160.0	0.1333214285714285	0.00911319413985374	fly	C-score
2170.0	0.13319897959183669	0.009106655147173555	fly	C-score
2180.0	0.1330765306122449	0.009098602045629945	fly	C-score
2190.0	0.1329081632653061	0.00908987963320605	fly	C-score
2200.0	0.1327908163265306	0.009075678136283918	fly	C-score
2210.0	0.13271428571428567	0.009068005757300929	fly	C-score
2220.0	0.13252551020408163	0.009053846236300053	fly	C-score
2230.0	0.13242857142857137	0.009045683232275541	fly	C-score
2240.0	0.1322908163265306	0.009033063899855606	fly	C-score
